Reason,Count
"Focus on new product offerings, such as OmniReachtm FTTX solutions being deployed by several communications service providers and the growing acceptance of our Digivance® wireless coverage solution and TrueNet® and CopperTentm enterprise solutions",1
focus on offering our customers price competitive solutions with high functionality and quality as well as world-class customer support,1
focus our capital deployment on building out our leading industrial air solutions portfolio,1
focus our capital on building out our leading air quality and water treatment positions,1
Focus portfolio on core services offerings,1
focused on our base business,1
focused ongoing efforts to simplify business,2
fuel expense and record high oil prices,1
further segmentation of the classes of service we offer,1
Gaining market share in areas of strategic focus,2
growing new Ground Delivery Service (GDS),1
growth in the mid-market and the National Account,1
headcount reductions,1
Heightened focus on needs of customers through business execution excellence that delivers customer-specific solutions,1
imbalance of the industry's manufacturing capacity and end market demand,1
implement a more competitive cost structure,1
implementing cost reductions,1
improve base businesses,1
improve efficiencies and reduce costs primarily in certain Solvay sites and functions,1
improve efficiencies in Abbott's core diagnostic business,2
improve efficiencies in various Abbott businesses including nutritional and established pharmaceuticals businesses,1
"improve efficiencies in various Abbott businesses including the nutritional, established pharmaceuticals and vascular businesses",2
Improve liquidity and cash flow,2
improve on-site volumes,1
improve operating efficiencies,1
improve our cost structure,1
"improve profitability as measured by operating margin, adjusted operating margin",1
improving its accounts receivable collection procedures,1
improving our capital structure,1
improving sales productivity,1
increase available cash on hand,1
increase in aircraft fuel expense,2
increase pipeline and storage capacity utilization,1
increase the crude oil supply and take-away capability of the system,1
increased competition in West Coast market,1
increased competition which resulted in lower pricing to our customers,1
increased competitive pressures and market outlook,2
Increasing competition from low-cost carriers (LCCs) and the continuing increase in pricing transparency resulting from the use of the Internet,2
Increasing global market penetration,2
Increasing market share in certain areas as they have done recently with respect to some product lines,1
increasing our operating margins as well as our gross margin percentage,1
instituting strict inventory control,1
"integration of the acquisitions of St. Jude Medical into the Medical Devices segment, and Alere into the Diagnostic Products segment",3
"Invest in a diversified, professionally managed portfolio of equity and fixed income investments",1
Invest Wisely,1
investing in automated manufacturing technologies,1
Investments in research and development spending associated with development of apain product with abuse deterrent characteristics,1
launch of new product development initiatives,1
leverage economies of scale,2
leverage economies of scale and reduce costs,3
Leveraging technological capabilities across various product groups,2
Licensing arrangements to support further growth,1
lower discretionary spend,1
lower our overall cost-to-serve and improve both sales and administrative productivity,1
lower sale of equipment activity,1
Lowering cost structure to compete more effectively,2
maintain operational efficiencies,2
making structural changes to our fleet,1
"Managing Corporate costs, including costs incurred for asbestos and environmental matters",1
markets have slowed as a result of the unprecedented global credit crisis and softening of the global economic environment,1
maximize operational efficiencies by the institution of key global roles to oversee supply chain and scientific affairs functions,1
Navigate the unprecedented decline in commercial passenger flight hours,1
new goals that are aligned with Air Products' business strategy,1
new organizational structure that is aligned with the regional nature of the industrial gases business,1
new products from research and development activities,1
operating changes initiated by the Company's management related to liquidating Acme United Limited,1
operational difficulties during much of the year due to the combined effects of the labor and operational changes,1
Opportunities to cross-sell products among ADC’s traditional customer base and the traditional customer base of KRONE following our acquisition of KRONE in May 2004,1
"Opportunities to cross-sell products among the traditional KRONE and ADC customer bases, of which there is very little overlap; and",1
optimizing labor productivity and operating cost efficiencies,1
organizational improvements,1
over-capacity in a weakened economic environment,1
part of the integration of the acquisitions of St. Jude Medical into the cardiovascular and neuromodulation segment and Alere into the diagnostics segment,2
position company to take advantage of new opportunities in high-growth adjacent markets,1
preserving cash and improving our overall liquidity position,1
pricing pressures associated with customer consolidation,1
Proactively managing raw material cost increases,1
process improvements and enhanced production capabilities in conjunction,1
provide sufficient liquidity to fund ongoing benefit payments,1
public health and economic crises resulting from the outbreak of COVID-19,1
rapid changes in the airline industry,1
rapid spread of COVID-19 within the United States,1
realign and focus our sales and marketing activities to sell more of our current portfolio and new products to existing customers and to introduce our products to new customers,1
realign financial reporting segments to match our internal operations,1
realign its global manufacturing operations and selected domestic and international commercial operations,1
realign our manufacturing capacities among various manufacturing facilities in an effort to improve efficiencies and our competitive position,1
realignment of our businesses into new reporting segments and organizational changes,1
recent impacts of Hurricane Irma,2
reconfiguring the Board of Directors and senior management,1
record high fuel prices,2
reduce cost structure,3
reduce costs,3
reduce costs and improve efficiencies across various functional areas,1
reduce costs by approximately $7 million per annum,1
"reduce costs in its medical devices, diagnostic, and established pharmaceutical businesses",1
Reduce fixed and variable cost base,1
reduce overall costs,2
"reduced pricing power, resulting mainly from greater cost sensitivity on the part of travelers (especially business travelers), increasing competition from LCCs, and the use of the Internet",1
"Reduced pricing power, resulting mainly from greater cost sensitivity on the part of travelers, especially business travelers",2
Reduced selling prices and low production levels have led to lower operating margins,2
reducing costs through product exits and asset rationalizations,1
refocus the Company’s portfolio including exiting non-core and low critical mass products,1
refocused our resources on our most strategic initiatives through the rationalization or sale of certain non-strategic product and service offerings,1
reorganize certain of its European operations in its Test Solutions business segment in order to increase operating income,1
"restoring it to industry leadership, profitability and growth",1
safeguard the Company’s liquidity,1
Sales growth through market share gains and the development of new sales channels in targeted product and market segments. New product introductions and expansion in existing and adjacent markets,1
sales of value-added electronic components to support today’s advanced electronic devices,1
shifting our portfolio mix towards businesses with more recurring revenue and more predictable cash flows,2
significant health crisis facing the world (COVID-19),1
Significant investments in inventory and rotable assets,1
significant pricing increases for raw materials used to produce our products as well as for transportation costs to move our inventories and products,1
slow-down in the rate of growth in demand for their products,2
softer demand in the last half of the year due to the current economic recession,1
split Sally Holdings from the consumer products business,4
"Steep fall-off in the demand for air travel, particularly business travel, primarily caused by weakness in the U.S. economy",2
streamline certain manufacturing operations in order to reduce costs and improve efficiencies in pharmaceuticals business,1
streamline global manufacturing operations,2
streamline operations,1
streamline operations in order to reduce costs,2
Strengthen and Defend our Global Network,1
strengthen our competitive positioning,1
strengthen our competitiveness in core growth,1
strengthening its balance sheet and executing on its fleet renewal and replacement plan,1
suspension in trade shows and other business meetings,1
Taking market share from our competitors as we have recently done with respect to some of our product lines,1
tavel restrictions across all segments,1
"The aftermath of the terrorist attacks of September 11, 2001, which accelerated the trend of decreased demand and reduced industry revenues",2
the purchase of businesses or individual products from third parties,1
ticket yields under pressure,2
transforming strategic direction and improving many aspects of our operations,1
transitioned to smaller manufacturing geometries for both our microprocessor and Flash memory products,1
"Underlying volume growth was modest, and overall, sales declined by 1%",1
unprecedented declines in demand for the Company’s products worldwide,1
