Reason,Count
"Most effectively integrate the December 2001 acquisition of the Faulting Oral Pharmaceuticals business (""OPB acquisition"")",1
narrow the focus of the business,2
Navigating unprecidented decline in commercial flight hours,1
need for more sound balance sheet and financial structure,1
optimize costs,2
outsource heavy maintenance functions to Horizon aircraft,1
outsource remaining heavy maintenance functions for Horizon aircraft,1
Position company for long-term success,1
position to take advantage of new opportuniteis in high-growth adjacent markets,1
Product line rationalization,1
protect health of employees and their families,1
provide customers with new generation of passive component and connector product solutions,1
public health and economic crisis resulting from the outbreak of COVID-19,2
realign its global manufacturing operations and selected domestic and international commercial operations,2
realign its worldwide pharmaceutical and vascular manufacturing operations and selected domestic and international commercial and research and development operations in order to reduce costs,1
Realign its worldwide pharmaceutical and vascular manufacturing operations and selected domestic and international commercial and research and development operations to reduce costs,1
Realign the Company's production capabilities,1
realign worldwide pharmaceutical and vascular manufacturing operations and selected domestic and international commercial and research and development to reduce costs,1
realigne businesses into new reporting segments,1
Recognize asset impairment,1
Recognize asset impairments,1
Reduce annual costs,1
Reduce capacity,1
reduce carbon dioxide emissions intensity,1
reduce cost structure,6
reduce costs,37
reduce costs in certain Solvay sites and functions and in certain Abbott and Solvay commercial organizations in various countries,1
"reduce costs in medical devices, diagnostic, and established pharmaceutical businesses",2
Reduce debt,3
Reduce expenses,2
reduce international operating costs,1
Reduce manufacturing footprint,1
Reduce operating and overhead costs,1
Reduce operating costs,4
reduce operating expense and capital spending,1
Reduce operating expenses and capital spending,3
Reduce outstanding debt,1
reduce overall costs,3
Reduce pricing power from greater cost senstivity from travelers and increasing competition from low cost carriers,1
Reduced demand for parts support and maintenance activities,1
Reduced pricing power that is believed to persist indefinitely and possibly permanently,1
reorganize and streamline certain organizations,1
reorganize company,2
reorganize operations in light of economic downturn,1
reorganize the company (realignment of businesses in new reporting segments and other organizational changes),1
reorganizing industrial gases segments,2
Residual effects of September 11,1
"Restore to industry leadership, profitability, and growth",1
"Restoring company to industry leadership, profitability, and growth",1
restructuring of  Horizon,1
restructuring of PUI business,1
Return of capital to shareholders,1
returning capital to shareholders,1
returning the Company to profitability,1
Secure the Company's future by focusing on what is required to succeed in the airline business,1
separation into New Alberto-Culver and New Sally,5
Significantly increase the size of CECO,1
Simplift aircraft fleet,1
Simplify aircraft fleet,1
simplify and streamline business practices and management structure,1
simplify business,4
simplify management structure and business practices,1
Simplify operating efficiences,1
"Steep fall-off in demand for air travel, particularly business travel, caused by continuing weakness of the U.S. economy",1
streamline certain activities,1
streamline certain manufacturing operations to reduce costs and improve efficiencies,1
streamline global manufacturing operations,3
streamline operaitons in order to reduce costs,1
streamline operations,4
streamline operations and diversify offerings in transportation segment,1
streamline operations in order to reduce costs,2
streamline operations in order to reduce costs and improve efficiences,1
Streamline operations to reduce costs,1
streamline operations to reduce costs and improve efficiencies,2
Strengthen and expand presence domestically,2
strengthen company's competitiveness in core growth areas,1
strengthen competitive positioning,2
Strengthen its competitive and financial position,2
strengthen its competitiveness in core growth areas,2
Strengthen its competitve and financial position,1
take advantage of lower fuel prices,1
The separation of the company into New Alberto-Culver and New Sally,1
the Separation of the company into New Sally and New Alberto Culver,1
the split into New Sally and new Alberto Culver,1
to achieve greater operating efficiencies in its Diagnositc and International segments,1
to be more responsive to customers' demands,3
to better position the Company in an uncertain business environment,1
to broaden the applications and target markets for existing products,1
to consolidate three UK operations into one division in Test Solutions business segment,1
to expand the scope of content in customers' products,1
to further align cost structure to industry conditions resulting from weak customer demand and industry-wide excess inventory,4
To increase focus on better serving energy and industrial solutions and fluid handling markets,1
to increase operating efficiencies,1
to maintain a conservative capital structure,1
to opportunistically pursue strategic acquisitions,1
To provide customers with new generations of passive component and connector product solutions,2
To restore competitiveness,1
to streamline certain manufacturing operations,1
To strengthen and expand portfolio of proprietary technologies,1
To take advantage of excess manufacturing capacity in certain facilities,4
Transform the mix of businesses,1
transition fo Q400 fleet,1
Weak economic conditions in the U.S. and most other industrialized nations,1
