Reason,Count
Employee and lease terminations to reduce redundancies associated with the acquisition of AATI,2
employee severance,3
Employee severance and other termination benefits,1
Employee severance costs,1
employee termination,1
employee termination and relocation costs,1
employee termination benefits,1
Employee termination costs,1
employee terminations,1
employing disciplined cost management,2
enable selective strategic investment,1
ending of a certain product’s life cycle,1
ending of a large outsourcing engagement,1
energy marketing and energy trading operations,1
engineering and SMG&A to more appropriately reflect their required overhead structure.,2
England,2
enhance competitiveness in core growth areas,1
enhance customer service,4
enhance general and administrative infrastructure,2
enhance operational effectiveness,3
enhance operational efficiency,1
enhance performance,2
enhance service in remaining North American facilities,1
enhance value for shareholders,1
enhancements in long-term cost competitiveness,1
enhancing commercial and marketing processes.,1
enhancing operational efficiency,1
enhancing products and processes to unlock cost efficiencies and savings across the enterprise,1
enter into joint ventures,1
enter new markets,1
entering into an amended five-year credit facility,1
equipment relocation costs in Australia,1
establishment of a corporate headquarters in the U.K.,1
Europe and beyond.,1
evaluate operations,2
evaluate other alternatives to further enhance shareholder value,1
excess passive component inventory,1
excess supply of equipment,1
executive management changes,3
executive retirements,1
exit all the operations comprising the Automotive Components segment,1
exit and disposal initiatives,1
exit baseband product area,2
exit Bayliner cruisers in the U.S. and European markets,1
exit certain operations in the Industrial Components and General Industry segments,1
exit dense server systems business,2
exit from non-core product areas,1
exit low-margin,1
exit mobile transceiver product area,2
exit of certain operations in China,1
exit of COCO business,1
exit of Sea Ray business,1
exit polyurethane intermediates business,1
exit strategies for non-optimal products,1
Exit the computer monitor segment of the aperture mask business,2
exit the Russian market,2
Exit the Turkey market,1
exit underperforming businesses,1
exit unprofitable and non-strategic businesses,1
exiting from select low-return product offerings,1
Exiting of lower-margin customer contracts,2
exiting or restructuring underperforming contracts,1
expand access to manufacturing and distribution capabilities in Mexico,1
expand global sourcing capabilities,1
expand participation of high-end specialty alloys,1
expanding services activities to enhance revenue,1
expanding zero-based budgeting efforts,1
expansion in the U.K.,1
expansion of the Lima plant,1
expense management and cost control initiative,1
Expense management and cost control initiatives,1
Expense reductions,1
exploit the advantages of its affiliation with Nano-Tex,1
facilities and resource utilization with business volumes and strategic direction,1
Facility closures,1
facility closures including manufacturing facilities in the North American Social Expression Products segment in 2008 and a manufacturing facility in the International Social Expression Products segment in 2007,1
Facility consolidation,6
facility consolidation savings,1
facility consolidations,7
facility exits,1
facility rationalization,2
factory transitions to more cost-effective locations,3
finance/accounting and other administrative functions,1
financial disruptions of COVID-19,1
financial resilience,1
fitness and bowling and billiards industries,1
fleet simplification,3
focus business on strategic and core operations,1
focus on core aviation services offering,1
focus on core business encompassing linear products,1
focus on core strategy of computing and graphics market opportunities,1
focus on enabling Representatives to more easily interact with the company and achieve relevant earnings,1
Focus on inventory management systems,1
focus on the growth of core business,2
focus on the growth of LANE BRYANT brand,1
focus resources on growth projects,1
focus resources on high value priorities,1
focus the Architectural Glass segment on premium,1
focus the sales force,2
focused approach to research and development,1
Focusing on core industrial gases business,1
focusing on growing profitable core product categories,1
France facility to the Czech Republic.,1
front-end modules and radio solutions,1
fully exiting the Corporation’s M&R businesses,1
further downsizing of operational infrastructures,1
further integrate onsite businesses,1
further integrating the acquisition of Farnell,2
further integration among onsite businesses,1
further integration among Onsite Services businesses,2
further strategy,1
gain efficiencies and reduce its cost structure following the CWAE Divestiture,2
gain operating efficiencies,2
gains realized on the sale of land or equipment associated with restructured plants or locations,1
general,2
general and administrative expense by better leveraging resources to create a more efficient and agile organization.,1
general and administrative resources,1
general cost-reduction efforts,1
general function consolidations,1
general reduction in workforce in response to lower levels of expected sales volumes in certain businesses.,1
generate cost savings,6
Generate positive cash flow,1
global economic crisis,1
global economic downturn,2
Global economic uncertainties,1
global economic uncertainty,4
global economic uncertainty and resulting revenue instability,1
global salaried employee reduction,1
global sales organization,1
Global uncertainty or recessionary environment,1
Goodwill and other asset impairment,1
governance and decision making,1
Ground Support Equipment and facility maintenance functions,1
Grounding and retirement of 27 McDonnell Douglas MD-80 airframes,1
grove costs,1
grow business,1
Headcount reductions,6
headquarters/administration efficiencies,3
high fuel prices,7
High oil prices,1
high-performance products,2
Higher manufacturing spending,1
hosting and consumer customers,1
identify efficiency opportunities,2
identify efficiency opportunities to enhance performance,1
imbalance of industry's production capacity and market demand,1
impacted market growth rates of the orthopedic reconstructive device industry,1
impairment charges on divested assets,1
implement a more competitive cost structure,2
implement productivity enhancements through the consolidation and centralization of activities in inventory management,1
implementation of a distribution and logistics realignment in Australia,1
implementation of furloughs,1
Implementation of new business plan,3
implementation of new labor agreements,1
implementation of three-year strategic plan,1
implementing a more rigorous capital review process,1
Implementing cost-containment measures,1
implementing voluntary leave and early retirement programs,1
Improve competitive position,1
improve competitiveness,1
Improve cost competitiveness and profitability,1
Improve cost structure,4
Improve cost structure and competitive position,1
improve customer experience,1
improve customer service,1
Improve customer service levels,1
improve efficiencies,9
Improve efficiencies across the organization,1
improve efficiencies and reduce costs in certain Solvay sites and functions as well as in certain Abbott and Solvay commercial organizations in various countries,1
improve efficiencies in Domestic operations,1
Improve efficiency,6
Improve efficiency and resource prioritization,1
improve efficiency of operations,4
improve Electronics business,1
Improve financial results,1
improve general operating efficiencies,4
Improve global operating efficiencies,1
improve its general and administrative infrastructure,1
Improve long-term growth prospects,4
Improve manufacturing efficiency and quality,1
improve manufacturing operations,1
Improve market position,1
Improve operating efficiencies,30
improve operating efficiencies and margins,1
Improve operating efficiency,1
Improve operating margins,1
improve operating performance,6
Improve operating results by adjusting cost structure to reduced volume levels,1
improve operational effectiveness and efficiency,1
Improve operational efficiencies,2
Improve operational efficiency,1
improve or eliminate under-performing manufacturing facilities and retail sales centers,1
Improve overall cost structure,4
Improve overall time to market for next generation multimedia systems development,1
improve Pepperidge Farm bakery supply chain cost structure,1
improve performance,1
improve performance and better align supply with demand in its fresh-cut flowers business,1
improve performance and efficiency,1
Improve performance at certain business units,3
Improve processes,1
improve processes through automation,1
improve product profitability,1
Improve productivity,2
improve profitability,3
improve results in the future,1
improve sales and administrative productivity,1
improve sales productivity,2
Improve store efficiencies,1
Improve supply chain efficiency,3
improve supply chain efficiency in Australia,1
Improve supply chain management,1
Improve technology for the underwriting function,1
Improve the Company's competitive position,1
improve the company's cost structure and manufacturing footprint,1
improve the Company's liquidity,1
Improve the company's overall cost structure,4
Improve the Company’s cost structure,4
Improve the Company’s overall time to market for next-generation multimedia systems development,1
Improve the structure of European operations,1
Improve U.S. supply chain cost structure,1
Improve workflow efficiencies,1
improve working capital,1
improved integration across the Company's segments,1
improved manufacturing efficiency,2
Improved operational effectiveness and efficiency,10
Improved sales volume,1
improved service to customers,1
improvement in quality,1
improvement of ability to maintain a competitive worldwide effective income tax rate,1
improvement of employee engagement programs,1
improving efficiencies,1
Improving efficiency,1
improving financial resilience,1
improving focus on safety,1
improving its general and administrative infrastructure,1
Improving operating efficiencies,3
Improving operational effectiveness,3
Improving operational efficiencies,2
improving operational efficiency,1
improving operational excellence and production efficiency by utilizing a Lean approach,1
improving or eliminating under-performing manufacturing facilities,1
improving profitability and return on invested capital,1
improving sales productivity,1
Improving the core greeting card business,1
improving the design,1
in selling,1
in-flight product changes,3
inability to conclude consensual negotiations with all remaining labor groups,2
inability to reject/abandon surplus aircraft leases,2
Inc. (Cybex) and Indoor Cycling Group GmbH (ICG),1
including corporate and operational cost structures,1
including environmental costs and contract termination penalties,1
including in areas related to research and development and go-to-market activities,1
including its terminal,1
including significant reductions in cases in the U.S. and other major developed countries,1
incorporating new approaches to various elements of business,1
increase asset utilization across U.S. thermal plant network,1
increase available liquidity,1
increase efficiencies,1
increase efficiency and effectiveness,1
increase financial flexibility,1
increase future productivity,2
increase in customers’ needs for cost reductions,1
increase in markdowns,1
increase in operational costs related to design,1
increase labor efficiency,1
Increase manufacturing efficiency,3
increase market share,1
increase mix of higher margin services,1
Increase operational efficiencies,6
Increase productivity,4
increase profitability in Europe,1
increase revenues,1
increase spans of controls,1
increase utilization,1
Increased competition in the technology hardware environment,1
increased costs for zinc,1
increased freight expenses,1
increased oil production and supply,1
increased profitability,1
increased utilization of third-party providers in manufacturing and technology,1
increased warranty,1
Increasing profitability,1
increasing transparency of fares through Internet sources,1
incremental savings opportunities across several cost categories,1
independent global healthcare companies,1
industry-focused company,2
industry-wide excess inventory,1
Information technology,1
integrate acquired businesses,6
Integrate acquisitions,1
integrate Allen Telecom's operations with the company,1
integrate any acquired businesses,1
integrate EMS Wireless' operations with those of Andrew,1
integrate Precision Antennas' operations with those of Andrew,1
integrate recent acquisitions,1
integrate recently acquired businesses,1
integrate the operations of acquisitions into its operations,1
Integrating acquired businesses,1
Integrating existing businesses,1
integrating medical platform,1
Integrating the 2014 Acquisitions into the legacy-Bel structure,2
Integration and restructuring of the business,1
integration of acquired businesses,4
integration of acquired businesses within the company's pre-existing business,4
Integration of Allen Telecom,1
Integration of Allen Telecom and Channel Master operations,1
Integration of Allen Telecom's operations with the company,1
Integration of Bard operations,1
integration of certain regional and global businesses,1
Integration of GCA into industry group model,1
integration of GlobalNet's operations with BGS,1
Integration of Memec into the existing Avnet business,1
Integration of recent acquisitions,1
integration of recently acquired businesses,1
integration of Robert Mondavi operations,1
integration of Skyware's operations with Andrew,1
Integration of the acquired Bell business,1
Integration of the acquisition of St. Jude Medical into the Cardiovascular and Neuromodulation Products segment and Alere into the Diagnostic Products segment,1
Integration of the acquisitions of St. Jude Medical and Alere,1
integration of the acquisitions of St. Jude Medical into the Cardiovascular and Neuromodulation Products segment,1
Integration of the acquisitions of St. Jude Medical into the cardiovascular and neuromodulation segment and Alere into the diagnostics segment,2
Integration of the Enerpac and Hydratight businesses,1
intensifying competitive challenges,6
intensifying continuous improvement and restructuring programs in manufacturing and distribution facilities,1
International operations restructuring,1
inventory destocking by industrial customers,1
inventory reductions,1
Investing in growth,1
investing in test and measurement and sensors product lines,1
investment in Bank of Queensland Limited,1
investments in service delivery tools and processes,1
Jackstädt integration,1
Kentucky production facility and to exit a non-material,2
Lafayette,1
leadership transition,1
Lean manufacturing productivity initiatives,2
leased facility costs,1
less efficient assets,1
Level setting its cost structure in a prolonged,1
leverage economies of scale,2
leverage existing capacity,1
LLC,1
logistical and purchasing efficiencies,1
long-term profitability,1
long-term value of the business,1
longer-term integration activities,1
low-cost airlines,1
lower cost,8
Lower cost structure,2
Lower cost structure in response to weak economic conditions,1
Lower costs,3
Lower demand,1
lower demand across all end-use markets,1
lower demand for switched access services,1
lower discretionary spend,1
Lower labor costs,1
lower manufacturing costs,1
Lower net sales,1
Lower operating costs,1
lower operating margins,1
Lower overall cost-to-serve,1
lower overall margins on large product sourcing engagement,1
lower plant operating costs,1
lower productivity,1
lower sales and production volumes,1
Lower sales volume,1
Lower sales volumes,1
Lower than expected sales,1
lower the costs of manufacturing operations,1
lower utilization of production facilities,1
Lower volumes,1
Lower-cost operating platform,1
lowered annual fixed costs,1
lowering marine production levels to achieve reductions in pipeline inventories.,1
lowering of fixed costs,1
lowering of the Company’s breakeven point through structural cost reductions,2
lump-sum pension settlement charge,1
maintain strategic objective to solidify leadership position in the marine,1
maintenance shops and other initiatives,1
major restructuring of its segment operating structure,1
make acquisitions and investments,1
make significant R&D investments,1
manage expenses more conservatively,1
manage investment for new or replacement assets,1
management changes,1
Management reorganization,2
Management workforce reduction,1
mandated price reductions on interstate and intrastate access services,1
manufacturing,1
manufacturing and other cost reduction initiatives,1
manufacturing inefficiencies in launching new products,1
margin pressure,1
marketing and administrative areas,2
Massachusetts facility,1
match manufacturing capacity and number of Company-owned retail sales centers to industry and local market conditions,1
Matching factory-built housing manufacturing capacity to industry and local market conditions,1
maximize asset utilization,1
maximize available opportunities,1
maximize utilization of cost-effective mills,2
Medical Headquarters Relocation,1
meet customer needs,1
meet the needs of global customer base more efficiently and effectively,1
meeting demand expectations in the medical market,1
Migrating products to the cloud,1
migration of production to low cost locales,1
mill rationalizations,3
minimize future losses,1
mitigate negative impacts on revenues,1
Mitigate the effects of the COVID-19 pandemic,4
Mitigate the impact of a weak global economy due to the COVID-19 pandemic,1
Mitigate the impact of COVID-19,1
modify its business processes relative to product development,1
more conservative capital structure,1
more effective cost management,1
more efficient facilities,1
More efficient global manufacturing processes,1
More efficient operations,1
More focused investment in commercial opportunities for key brands and markets,2
more profitable company,1
most effectively integrate the December 2001 acquisition of the Faulding Oral Pharmaceuticals business,2
move customers to improved technology,2
movement of operations into lower cost locations,1
moving into the new corporate headquarters,1
moving operations of certain facilities,1
moving the Company's medical products distribution headquarters and certain corporate functions,1
N.A.,1
narrow the focus of business,2
navigate through the COVID-19 pandemic situation,1
negative impact of foreign exchange,1
negative year-over-year core sales growth for the segment,1
negotiate cost savings from employee groups,2
network optimization,2
no longer pursue the sale of consulting and software development to third parties,1
non-core business.,2
non-core lines of business,1
non-performing and under-performing assets,1
obtain the anticipated benefits and costs savings from the transaction,1
offer innovative products,1
offset inflation through productivity improvements,1
offset the decline in comparative store sales with continued savings initiatives,1
offset the effects of reduced demand,1
Ohio,1
ongoing integration of the Pinnacle assets,1
open new manufacturing facilities in Mexico and the Czech Republic,1
operate effectively in a difficult economy and marine industry,1
operating cost improvement,1
Operating efficiencies,2
operating results,1
operational and administrative efficiencies,1
