Reason,Count
Growth and execution across all activities in commercial and government markets,1
growth in the mid-market and the National Account,1
headcount reductions,1
Heightened focus on needs of customers through business execution excellence that delivers customer-specific solutions,1
Help company manage through near-term challenges (rapidly deterioriting economy and very high fuel prices),1
help members live healthier lives,1
High oil prices,1
higher transaction and integration-related costs,2
imbalance of the industry's manufacturing capacity and end market demand,1
implement a more competitive cost structure,4
implementing cost reductions,1
improve base businesses,1
improve cost competitiveness and profitability,6
improve cost structrue,1
Improve dependability and on-time performance,1
improve efficiences,1
improve efficiencies,17
improve efficiencies across various functional areas,2
improve efficiencies and quality,1
improve efficiencies and reduce costs primarily in certain Solvay sites and functions,1
improve efficiencies in Abbott's core diagnostic business,4
improve efficiencies in core diagnostic business,1
improve efficiencies in various Abbott businesses,2
improve efficiencies in various Abbott businesses including nutritional and established pharmaceuticals businesses,1
"improve efficiencies in various Abbott businesses including the nutritional, established pharmaceuticals and vascular businesses",5
Improve financial results without compromising operational performance,1
Improve future operations,4
Improve future operations of its operating segments,1
Improve gross profit percentages and income from continuing operations,2
Improve liquidity and cash flow,2
improve on-site volumes,1
improve operating efficiencies,5
Improve operating efficiency,1
Improve operating performanace,1
Improve operating performance,9
improve our cost structure,4
improve our operating cost structure,3
improve productivity,1
"improve profitability as measured by operating margin, adjusted operating margin",1
improve the Company's cost structure,2
improving effectiveness and efficiency,2
Improving financial position,1
Improving funded position,1
improving its accounts receivable collection procedures,1
Improving operating performance,1
improving our capital structure,1
improving sales productivity,1
increase available cash on hand,1
increase focus on what customer's truly value and are prepared to pay for,1
increase in aircraft fuel expense,2
increase operating income,1
Increase operational efficiency,1
increase operational flexibility,1
increase pipeline and storage capacity utilization,1
increase the crude oil supply and take-away capability of the system,1
increased competition in West Coast market,1
increased competition which resulted in lower pricing to our customers,1
increased competitive pressures and market outlook,2
increased union and employee involvement in the operation of the Company,1
Increasing competition from low-cost carriers (LCCs) and the continuing increase in pricing transparency resulting from the use of the Internet,2
Increasing global market penetration,2
Increasing market share in certain areas as they have done recently with respect to some product lines,1
increasing our operating margins as well as our gross margin percentage,1
Increasing revenue and profitability in developing markets where environmental awareness and associated regulatory standards are increasing,1
Increasing revenues and profitability globally,3
Increasing revenues and profitability in developing markets where environmental awareness and associated regulatory standards are increasing,1
instituting strict inventory control,1
integration of acquisitions of St. Jude Medical Inc into Medical devices segment and Alere Inc. to Diagnostic Products segment,1
Integration of acquistions of St.Jude Medical into the Cardiovascular and Neuromodulation Products segment and Alere into the Diagnostic Products,1
integration of the acquisitions of St. Jude Medical into the cardivascular and neuromodulation segment and Alere into the diagnostic segment,1
"integration of the acquisitions of St. Jude Medical into the Medical Devices segment, and Alere Inc. into the Diagnostic Products segment",2
"integration of the acquisitions of St. Jude Medical into the Medical Devices segment, and Alere into the Diagnostic Products segment",5
integration of the acquisitions of St.Jude Medical into the cardiovascular and neuromodulation seegment and Alere into the diagnostic segment,1
integration of the acquistiation of St. Jude Medical into the Cardiovascular and Neuromodulation Products segment and Alere into Diagnostic Product segment,1
"Invest in a diversified, professionally managed portfolio of equity and fixed income investments",1
invest in new products and improvements to the production processes,1
Invest Wisely,1
investing in automated manufacturing technologies,1
investing in the business,2
Investments in research and development spending associated with development of apain product with abuse deterrent characteristics,1
launch of new product development initiatives,1
leverage economies of scale,24
leverage economies of scale and reduce costs,3
Leveraging technological capabilities across various product groups,2
Licensing arrangements to support further growth,1
liquidating Acme United Limited (AUL),1
liquidation procedures,1
liquidation procedures for Acme United Limited (AUL) a subsidary located in the UK,1
logistics operations,3
Long-term success,1
lower cost structure,2
lower costs,2
lower discretionary spend,1
lower operating margins,1
lower our overall cost-to-serve and improve both sales and administrative productivity,1
lower sale of equipment activity,1
Lowering cost structure to compete more effectively,2
maintain operational efficiencies,2
maintain sufficient liquidity,8
making structural changes to our fleet,1
Manage business during unprecendented time of COVID-10 pandemic,1
"manage its operations, assess performance and report earnings",3
manage our expenses,8
Manage through near-term challenges while positioning itself for long-term success,1
management reorganization,2
"Managing Corporate costs, including costs incurred for asbestos and environmental matters",1
Managing cost structure,2
Managing through the COVID-19 pandemic to ensure the safety of the team,1
markets have slowed as a result of the unprecedented global credit crisis and softening of the global economic environment,1
maximize operational efficiencies by the institution of key global roles to oversee supply chain and scientific affairs functions,1
meet our commitments,8
minimize our customers’ inventory financing costs,2
Mitigate effects of COVID-19 on business,1
Mitigate the effects of COVID-19 pandemic on business,2
"Most effectively integrate the December 2001 acquisition of the Faulting Oral Pharmaceuticals business (""OPB acquisition"")",1
narrow the focus of the business,2
Navigate the unprecedented decline in commercial passenger flight hours,1
Navigating unprecidented decline in commercial flight hours,1
need for more sound balance sheet and financial structure,1
new goals that are aligned with Air Products' business strategy,1
new organizational structure that is aligned with the regional nature of the industrial gases business,1
new products from research and development activities,1
non-cash and non-recurring charges to income,1
operating changes initiated by the Company's management related to liquidating Acme United Limited,1
operational difficulties during much of the year due to the combined effects of the labor and operational changes,1
Opportunities to cross-sell products among ADC’s traditional customer base and the traditional customer base of KRONE following our acquisition of KRONE in May 2004,1
"Opportunities to cross-sell products among the traditional KRONE and ADC customer bases, of which there is very little overlap; and",1
optimize costs,2
optimizing labor productivity and operating cost efficiencies,1
organic growth,7
organizational improvements,1
outsource heavy maintenance functions to Horizon aircraft,1
outsource remaining heavy maintenance functions for Horizon aircraft,1
over-capacity in a weakened economic environment,1
part of the integration of the acquisitions of St. Jude Medical into the cardiovascular and neuromodulation segment and Alere into the diagnostics segment,2
Position company for long-term success,1
position company to take advantage of new opportunities in high-growth adjacent markets,1
position ourselves for profitable growth,4
position ourselves to take advantage of new opportunities in high-growth adjacent markets,3
position to take advantage of new opportuniteis in high-growth adjacent markets,1
position us for profitable growth,1
preserving cash and improving our overall liquidity position,1
pricing pressures associated with customer consolidation,1
Proactively managing raw material cost increases,1
process improvements and enhanced production capabilities in conjunction,1
Product line rationalization,1
productivity improvements,5
protect health of employees and their families,1
provide customers with new generation of passive component and connector product solutions,1
provide sufficient liquidity to fund ongoing benefit payments,1
public health and economic crises resulting from the outbreak of COVID-19,1
public health and economic crisis resulting from the outbreak of COVID-19,2
rapid changes in the airline industry,1
rapid spread of COVID-19 within the United States,1
realign and focus our sales and marketing activities to sell more of our current portfolio and new products to existing customers and to introduce our products to new customers,1
realign financial reporting segments to match our internal operations,1
realign its global manufacturing operations and selected domestic and international commercial operations,3
realign its worldwide pharmaceutical and vascular manufacturing operations and selected domestic and international commercial and research and development operations in order to reduce costs,1
Realign its worldwide pharmaceutical and vascular manufacturing operations and selected domestic and international commercial and research and development operations to reduce costs,1
realign our cost structure,8
realign our manufacturing capacities among various manufacturing facilities in an effort to improve efficiencies and our competitive position,1
Realign the Company's production capabilities,1
realign worldwide pharmaceutical and vascular manufacturing operations and selected domestic and international commercial and research and development to reduce costs,1
realigne businesses into new reporting segments,1
realigning its business portfolio into six reporting segments,3
realignment of our businesses into new reporting segments and organizational changes,1
recent impacts of Hurricane Irma,2
Recognize asset impairment,1
Recognize asset impairments,1
recognized by the worldwide generic pharmaceutical industry,8
reconfiguring the Board of Directors and senior management,1
record high fuel prices,2
Reduce annual costs,1
Reduce capacity,1
reduce carbon dioxide emissions intensity,1
reduce cost structure,9
reduce costs,58
reduce costs and improve efficiencies across various functional areas,1
reduce costs by approximately $7 million per annum,1
reduce costs in certain Solvay sites and functions and in certain Abbott and Solvay commercial organizations in various countries,1
"reduce costs in its medical devices, diagnostic, and established pharmaceutical businesses",3
Reduce debt,3
Reduce expenses,2
Reduce fixed and variable cost base,1
reduce international operating costs,1
Reduce manufacturing footprint,1
Reduce operating and overhead costs,1
Reduce operating costs,4
reduce operating expense and capital spending,1
Reduce operating expenses and capital spending,3
reduce our healthcare costs for current retirees,5
Reduce outstanding debt,1
reduce overall costs,5
Reduce pricing power from greater cost senstivity from travelers and increasing competition from low cost carriers,1
Reduced demand for parts support and maintenance activities,1
Reduced pricing power that is believed to persist indefinitely and possibly permanently,1
"reduced pricing power, resulting mainly from greater cost sensitivity on the part of travelers (especially business travelers), increasing competition from LCCs, and the use of the Internet",1
"Reduced pricing power, resulting mainly from greater cost sensitivity on the part of travelers, especially business travelers",2
Reduced selling prices and low production levels have led to lower operating margins,2
"Reduced selling prices, low production levels",1
reducing costs through product exits and asset rationalizations,1
refocus the Company’s portfolio including exiting non-core and low critical mass products,1
refocused our resources on our most strategic initiatives through the rationalization or sale of certain non-strategic product and service offerings,1
reorganize and streamline certain organizations,1
reorganize certain of its European operations,1
reorganize certain of its European operations in its Test Solutions business segment in order to increase operating income,1
reorganize company,2
reorganize operations in light of economic downturn,1
reorganize the company (realignment of businesses in new reporting segments and other organizational changes),1
reorganizing industrial gases segments,2
Residual effects of September 11,1
"Restore to industry leadership, profitability, and growth",1
"Restoring company to industry leadership, profitability, and growth",1
"restoring it to industry leadership, profitability and growth",1
"restructure, accelerate and transform AMD",2
restructuring of  Horizon,1
restructuring of PUI business,1
retain the majority of AUL's customers,1
Return of capital to shareholders,1
returning capital to shareholders,1
returning the Company to profitability,1
safeguard the Company’s liquidity,1
Sales growth through market share gains and the development of new sales channels in targeted product and market segments. New product introductions and expansion in existing and adjacent markets,1
sales of value-added electronic components to support today’s advanced electronic devices,1
Secure the Company's future by focusing on what is required to succeed in the airline business,1
separation into New Alberto-Culver and New Sally,5
shifting our portfolio mix towards businesses with more recurring revenue and more predictable cash flows,2
significant health crisis facing the world (COVID-19),1
significant increases in the price of jet fuel,5
Significant investments in inventory and rotable assets,1
significant pricing increases for raw materials used to produce our products as well as for transportation costs to move our inventories and products,1
Significantly increase the size of CECO,1
Simplift aircraft fleet,1
Simplify aircraft fleet,1
simplify and streamline business practices and management structure,1
simplify management structure and business practices,1
Simplify operating efficiences,1
simplify our business,8
slow-down in the rate of growth in demand for their products,4
softer demand in the last half of the year due to the current economic recession,1
split Sally Holdings from the consumer products business,4
"Steep fall-off in demand for air travel, particularly business travel, caused by continuing weakness of the U.S. economy",1
"Steep fall-off in the demand for air travel, particularly business travel, primarily caused by weakness in the U.S. economy",2
streamline certain activities,1
streamline certain manufacturing operations in order to reduce costs and improve efficiencies in pharmaceuticals business,1
streamline certain manufacturing operations to reduce costs and improve efficiencies,1
streamline global manufacturing operations,5
streamline manufacturing,3
streamline operaitons in order to reduce costs,1
streamline operations,19
streamline operations and diversify offerings in transportation segment,1
streamline operations in order to reduce costs,4
streamline operations in order to reduce costs and improve efficiences,1
Streamline operations to reduce costs,1
streamline operations to reduce costs and improve efficiencies,2
Strengthen and Defend our Global Network,1
Strengthen and expand presence domestically,2
strengthen company's competitiveness in core growth areas,1
Strengthen its competitive and financial position,2
strengthen its competitiveness in core growth areas,2
Strengthen its competitve and financial position,1
strengthen our competitive positioning,4
strengthen our competitiveness in core growth,1
strengthening its balance sheet and executing on its fleet renewal and replacement plan,1
suspension in trade shows and other business meetings,1
take advantage of lower fuel prices,1
Taking market share from our competitors as we have recently done with respect to some of our product lines,1
tavel restrictions across all segments,1
"The aftermath of the terrorist attacks of September 11, 2001, which accelerated the trend of decreased demand and reduced industry revenues",2
the purchase of businesses or individual products from third parties,1
The separation of the company into New Alberto-Culver and New Sally,1
the Separation of the company into New Sally and New Alberto Culver,1
the split into New Sally and new Alberto Culver,1
ticket yields under pressure,2
to achieve greater operating efficiencies in its Diagnositc and International segments,1
to better position the Company in an uncertain business environment,1
to broaden the applications and target markets for existing products,1
to consolidate three UK operations into one division in Test Solutions business segment,1
to expand the scope of content in customers' products,1
to further align cost structure to industry conditions resulting from weak customer demand and industry-wide excess inventory,4
To increase focus on better serving energy and industrial solutions and fluid handling markets,1
to increase operating efficiencies,1
to maintain a conservative capital structure,1
to opportunistically pursue strategic acquisitions,1
To provide customers with new generations of passive component and connector product solutions,2
To restore competitiveness,1
to streamline certain manufacturing operations,1
To strengthen and expand portfolio of proprietary technologies,1
To take advantage of excess manufacturing capacity in certain facilities,4
Transform the mix of businesses,1
transforming strategic direction and improving many aspects of our operations,1
transition fo Q400 fleet,1
transitioned to smaller manufacturing geometries for both our microprocessor and Flash memory products,1
"Underlying volume growth was modest, and overall, sales declined by 1%",1
unprecedented declines in demand for the Company’s products worldwide,1
voluntary early retirement program,2
weak customer demand associated with the downturn in the semiconductor industry,1
Weak economic conditions in the U.S. and most other industrialized nations,1
